	Ob.EPA.a_S122_L007_R1_001	Ob.c_S136_L007_R1_001	Ob.1012.c_S140_L007_R1_001	WT.EPA.e_S151_L007_R1_001
4MPTNLtr_pos	0.0	0.0	0.0	0.0
4MPTNLtr_neg	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_pos	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_neg	0.0	0.0	0.0	0.0
4NPHSFte_pos	0.0	0.0	0.0	0.0
4NPHSFte_neg	0.0	0.0	0.0	0.0
4NPHSULT_pos	0.0	0.0	0.0	0.0
4NPHte_pos	0.0	0.0	0.0	0.0
4NPHte_neg	0.0	0.0	0.0	0.0
4PYRDX_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCte_pos	0.9107326619029126	0.6959938131099002	1.2570106182060237	0.9107326619029126
5ADTSTSTERONEGLCtr_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCtr_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONESULT_pos	4.032100843167024	5.469560421711221	2.849999259466098	0.2630344058337938
5ADTSTSTERONEte_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_neg	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_pos	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_neg	0.0	0.0	0.0	0.0
5AOPtm_pos	0.0	0.0	0.0	0.0
5AOPtm_neg	0.0	0.0	0.0	0.0
5DHFtl_pos	0.0	0.0	0.0	0.0
5FTHFt2_pos	3.203201156316611	3.9781956296816516	3.374343989038501	2.2957230245399685
5FTHFt2_neg	3.203201156316611	3.9781956296816516	3.374343989038501	2.2957230245399685
5HLTDL_pos	5.741197298571427	5.763145958149476	5.700162250106601	4.638653116466112
5HOMEPRAZOLEte_pos	0.0	0.0	0.0	0.0
5HOMEPRAZOLEte_neg	0.0	0.0	0.0	0.0
5HOXINDACTO2OX_pos	5.661350569233997	5.900866807980749	5.612942196304665	4.791293148592206
5HOXINDACTOXm_pos	10.72375478905404	10.926029078922397	10.711959440228776	10.353819485153808
5HOXINOXDA_pos	7.186758045588115	7.8343446308603335	7.100241820153314	6.7848965352083175
5HTRPDOX_pos	0.0	0.0	0.0	0.0
5HTRPVESSEC_pos	2.513490745588118	2.819668183496456	2.1043366598147357	1.5008020530571577
5HXKYNDCL_pos	5.741197298571427	5.763145958149476	5.700162250106601	4.638653116466112
5HXKYNOXDA_pos	7.186758045588115	7.8343446308603335	7.100241820153314	6.7848965352083175
5MTHFt_pos	0.0	0.0	0.0	0.28688114778816154
5MTHFt_neg	0.0	0.0	0.0	0.28688114778816154
5MTHFt2_pos	3.203201156316611	3.9781956296816516	3.374343989038501	2.2957230245399685
5MTHFt2_neg	3.203201156316611	3.9781956296816516	3.374343989038501	2.2957230245399685
5THFtl_pos	0.0	0.0	0.0	0.0
5THFtm_pos	0.0	0.0	0.0	0.0
6DHFtl_pos	0.0	0.0	0.0	0.0
6DHFtm_pos	0.0	0.0	0.0	0.0
6HTSTSTERONEte_pos	0.0	0.0	0.0	0.0
6HTSTSTERONEte_neg	0.0	0.0	0.0	0.0
6HTSTSTERONEtr_pos	0.0	0.0	0.0	0.0
6HTSTSTERONEtr_neg	0.0	0.0	0.0	0.0
6THFtl_pos	0.0	0.0	0.0	0.0
6THFtm_pos	0.0	0.0	0.0	0.0
7DHCHSTEROLtr_pos	0.0	0.0	0.0	0.0
7DHCHSTEROLtr_neg	0.0	0.0	0.0	0.0
7DHFtl_pos	0.0	0.0	0.0	0.0
7DHFtm_pos	0.0	0.0	0.0	0.0
7THFtl_pos	0.0	0.0	0.0	0.0
7THFtm_pos	0.0	0.0	0.0	0.0
A_MANASE_pos	3.940166750482817	4.130930869826448	4.281698250098829	3.6667565918848033
A_MANASEly_pos	6.064581109190573	6.068240861312821	6.099084760891864	5.653060017104565
A4GALTc_pos	0.6599245584023783	0.5655971758542251	0.2016338611696504	0.6415460290875237
A4GALTg_pos	0.6599245584023783	0.5655971758542251	0.2016338611696504	0.6415460290875237
A4GNT1g_pos	0.7136958148433591	0.9107326619029126	1.7398481026993275	0.09761079662642233
A4GNT2g_pos	0.7136958148433591	0.9107326619029126	1.7398481026993275	0.09761079662642233
AACOAT_pos	5.811214117513239	5.478971805032942	6.252286970999786	4.20163386116965
AACTOOR_pos	0.0	0.070389327891398	0.5058909297299573	0.0
AACTtm_pos	0.0	0.0	0.0	0.0
AASAD3m_pos	0.0	0.0	0.0	0.0
AATAi_pos	5.2731428593080825	5.847746416921386	5.354734239970604	5.88410945135923
AATAi_neg	5.2731428593080825	5.847746416921386	5.354734239970604	5.88410945135923
ABO1g_pos	0.0	0.0	0.0	0.0
ABO2g_pos	0.0	0.0	0.0	0.0
ABO3g_pos	0.0	0.0	0.0	0.0
ABO4g_pos	0.0	0.0	0.0	0.0
ABO5g_pos	0.0	0.0	0.0	0.0
ABO6g_pos	0.0	0.0	0.0	0.0
ABO7g_pos	0.0	0.0	0.0	0.0
ABO8g_pos	0.0	0.0	0.0	0.0
ABO9g_pos	0.0	0.0	0.0	0.0
ABTArm_pos	7.0133505917821335	7.780835001738229	6.855740591715029	6.549053029337288
ABTArm_neg	7.0133505917821335	7.780835001738229	6.855740591715029	6.549053029337288
ABTD_pos	0.0	0.0	0.0	0.0
ABTD_neg	0.0	0.0	0.0	0.0
ABTti_pos	0.0	0.0	0.0	0.0
ABUTD_pos	7.735995957661857	7.891115352832595	7.642051692927977	7.122051447713891
ABUTt2r_pos	3.698218478224414	4.295723024539968	3.759155833800272	3.9088129077395473
ABUTt2r_neg	3.698218478224414	4.295723024539968	3.759155833800272	3.9088129077395473
ABUTt2rL_pos	3.698218478224414	4.295723024539968	3.759155833800272	3.9088129077395473
ABUTt2rL_neg	3.698218478224414	4.295723024539968	3.759155833800272	3.9088129077395473
ABUTt4_2_r_pos	7.4961747022797685	8.135760581016171	7.499367566349126	7.501677982182991
ABUTt4_2_r_neg	7.4961747022797685	8.135760581016171	7.499367566349126	7.501677982182991
ACACT10m_pos	8.975847968006784	9.281976377858754	8.725707078837669	8.147713722352155
ACACT10m_neg	8.975847968006784	9.281976377858754	8.725707078837669	8.147713722352155
ACACT1r_pos	6.390254956321868	5.827310943949667	6.664625054869297	5.530757457461217
ACACT1r_neg	6.390254956321868	5.827310943949667	6.664625054869297	5.530757457461217
ACACT1rm_pos	8.955141315108218	9.22703826845937	8.742275747540269	8.12997843442215
ACACT1x_pos	6.390254956321868	5.827310943949667	6.664625054869297	5.530757457461217
ACACt2_pos	6.89469652333637	7.199476046442853	6.830103175920036	5.4252578719992135
ACACt2_neg	6.89469652333637	7.199476046442853	6.830103175920036	5.4252578719992135
ACACt2m_pos	5.363521543546545	5.610581958492531	5.537296067090842	4.638653116466112
ACACt2m_neg	5.363521543546545	5.610581958492531	5.537296067090842	4.638653116466112
ACACT4p_pos	0.0	0.0	0.0	0.0
ACACT5p_pos	0.0	0.0	0.0	0.0
ACACT6p_pos	0.0	0.0	0.0	0.0
ACACT7p_pos	0.0	0.0	0.0	0.0
ACACT8p_pos	0.0	0.0	0.0	0.0
ACACT9p_pos	0.0	0.0	0.0	0.0
ACACtx_pos	0.0	0.0	0.0	0.0
ACACtx_neg	0.0	0.0	0.0	0.0
ACALDt_pos	0.0	0.0	0.0	0.0
ACALDt_neg	0.0	0.0	0.0	0.0
ACALDtm_pos	0.0	0.0	0.0	0.0
ACALDtm_neg	0.0	0.0	0.0	0.0
ACALDtr_pos	0.0	0.0	0.0	0.0
ACALDtr_neg	0.0	0.0	0.0	0.0
ACALDtx_pos	0.0	0.0	0.0	0.0
ACALDtx_neg	0.0	0.0	0.0	0.0
ACCOAC_pos	8.355373122135164	7.53605290024021	9.347942423833347	7.176322772640463
ACCOACm_pos	5.664198369291911	4.426264754702098	6.184280294419382	4.945794956740061
ACCOAgt_pos	5.175923742063755	5.376776571882982	4.845490050944375	5.2787282129389395
ACCOAgt_neg	5.175923742063755	5.376776571882982	4.845490050944375	5.2787282129389395
ACCOAL_pos	6.907852071845964	5.879460722538024	7.829469052117076	7.156437068448693
ACCOALm_pos	0.09761079662642233	0.08406426478847456	0.25096157353321874	0.15055967657538138
ACCOAtn_pos	0.0	0.0	0.0	0.0
ACCOAtn_neg	0.0	0.0	0.0	0.0
ACCOAtr_pos	5.175923742063755	5.376776571882982	4.845490050944375	5.2787282129389395
ACCOAtr_neg	5.175923742063755	5.376776571882982	4.845490050944375	5.2787282129389395
ACETONEt2_pos	6.899779850048288	7.205060110544645	6.83731255552431	5.427941332509482
ACETONEt2_neg	6.899779850048288	7.205060110544645	6.83731255552431	5.427941332509482
ACETONEt2m_pos	5.363521543546545	5.610581958492531	5.537296067090842	4.638653116466112
ACETONEt2m_neg	5.363521543546545	5.610581958492531	5.537296067090842	4.638653116466112
ACGAGBSIDEtg_pos	0.0	0.0	0.0	0.0
ACGAGBSIDEtg_neg	0.0	0.0	0.0	0.0
ACGAGBSIDEtl_pos	0.0	0.0	0.0	0.0
ACGAGBSIDEtl_neg	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0
ACGALK_pos	0.0	0.0	0.0	0.0
ACGALK2_pos	0.0	0.0	0.0	0.0
ACGALtlg_pos	0.0	0.0	0.0	0.0
ACGALtlg_neg	0.0	0.0	0.0	0.0
ACGALtly_pos	0.0	0.0	0.0	0.0
ACGAM2E_pos	2.114367024952	1.5210507369009632	2.2479275134435857	2.0669502439246266
ACGAM2E_neg	2.114367024952	1.5210507369009632	2.2479275134435857	2.0669502439246266
ACGAM6PSi_pos	5.350850805483376	5.620879611355415	5.167919865551935	5.383358695385111
ACGAMK_pos	4.587364990936461	4.703211467391146	4.834407841806995	4.0916998341368105
ACGAMPM_pos	3.578938713093386	4.170726276131552	3.258518924711301	2.733354340613827
ACGAMPM_neg	3.578938713093386	4.170726276131552	3.258518924711301	2.733354340613827
ACGAMtly_pos	0.0	0.0	0.0	0.0
