	WT-1012-e_S152_L007_R1_001
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	12974.110842130667
3MOBt2im_pos	4094.9555829638566
3MOBte_neg	6.359026850824554
3MOBte_pos	7668.274779824049
3MOPt2im_pos	4094.9555829638584
3MOPte_neg	23.55944831103554
3MOPte_pos	7594.255447255951
3MOX4HOXPGALDOX_NADP__neg	892.9444425241543
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	892.9444425241543
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14709.078035983708
3SALAASPm_pos	0.0
3SALACBOXL_pos	10000.986367642301
3SALAOX_pos	26734.477323257343
3SALATAi_pos	13822.389180113863
3SALATAim_pos	14709.078035983708
3SPYRSP_pos	13822.389180113863
3SPYRSPm_pos	14709.078035983708
41R1H2MAE12BOOX_pos	39718.224672456294
41R2A1H12BOOX_pos	31867.26213254634
42A12BOOX_pos	0.0
4ABUTtcn_pos	9664.643399126287
4ABUTtm_neg	9596.597498317235
4ABUTtm_pos	12670.520626970372
4HBZCOAFm_pos	46095.49509199286
4HBZFm_pos	46095.49509199286
4HDEBRISOQUINEte_neg	7.54586284812177
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1333.9335968174137
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	10947.505430999432
4HPROLTASCT1_pos	1964.7034360956336
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	4094.9555829638584
4MOPte_neg	7421.552911967467
4MOPte_pos	7638.695842599852
4MPTNLte_neg	0.0
4MPTNLte_pos	61442.40493695838
4MPTNLtm_neg	61442.404936958366
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.54586284812177
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.75292868295553
4NPHSFte_pos	0.0
4NPHSULT_pos	22.752928682955528
4NPHte_neg	0.0
4NPHte_pos	14.227088448290393
4OHPROIMINOtc_pos	1964.7034360956336
4PYRDX_pos	8059.591380340266
5ADTSTSTERONEGLCte_pos	69776.309752526
5ADTSTSTERONEGLCtr_neg	69776.30975252597
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	8022.403679224593
5ADTSTSTERONESte_neg	8.418805144221327
5ADTSTSTERONESte_pos	55188.158054514635
5ADTSTSTERONEte_neg	55917.44402322442
5ADTSTSTERONEte_pos	7.274772277131839
5ADTSTSTERONEtr_neg	39.663747445948076
5ADTSTSTERONEtr_pos	55914.45041813751
5AOPtm_neg	14689.10240141739
5AOPtm_pos	0.0
5DHFtl_pos	3225.3096801227634
5FTHFt2_neg	0.0
5FTHFt2_pos	6.674500581899724
5HLTDL_pos	7.564083944778116
5HOMEPRAZOLEte_neg	7.54586284812177
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	537.183946833437
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.603146534774912
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15371.20277880151
5MTAte_pos	15125.583758678757
5MTHFt2_neg	1365.393495093505
5MTHFt2_pos	1365.393495093505
5MTHFt2le_neg	2486.086880418267
5MTHFt2le_pos	2486.086880418267
5MTHFt_neg	1365.393495093505
5MTHFt_pos	1365.393495093505
5OXPROt_neg	10466.170905797655
5OXPROt_pos	6241.117260672328
5THFtl_pos	3223.9808452367406
5THFtm_pos	3804.0229934567715
6DHFtl_pos	3478.882900273652
6DHFtm_pos	3873.8451942908437
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	52622.286681657446
6HTSTSTERONEtr_neg	52622.28668165747
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3478.882900273652
6THFtm_pos	3873.845194290844
7DHCHSTEROLtr_neg	10998.003519132935
7DHCHSTEROLtr_pos	77160.39057196627
7DHFtl_pos	3620.0526878835367
7DHFtm_pos	3921.75237318485
7THFtl_pos	3620.0526878835367
7THFtm_pos	3921.752373184851
A4GALTc_pos	0.0
A4GALTg_pos	11475.347093071094
A4GNT1g_pos	0.0
A4GNT2g_pos	259.62478201507474
AACOAT_pos	4302.3370512915635
AACTOOR_pos	12389.20060937213
AACTtm_pos	12389.20060937213
AASAD3m_pos	26.575812770652487
AATAi_neg	3951.360237240064
AATAi_pos	49.109615071816805
ABO1g_pos	10669.715773112935
ABO2g_pos	10277.611244167043
ABO3g_pos	10465.755017963553
ABO4g_pos	9659.514092973772
ABO5g_pos	9659.514092973772
ABO6g_pos	9055.765470850185
ABO7g_pos	9055.765470850185
ABO8g_pos	9346.522760256612
ABO9g_pos	8409.834721203062
ABTArm_neg	9596.597498317236
ABTArm_pos	12670.520626970374
ABTD_neg	5081.15449840218
ABTD_pos	7.990064617247084
ABTti_pos	5081.15449840218
ABUTD_pos	12543.453270232698
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	488.679289036781
ABUTt2r_pos	606.7942955245372
ABUTt4_2_r_neg	606.7942955245372
ABUTt4_2_r_pos	488.679289036781
