	WT-911-d_S144_L007_R1_001
5AOPtm_neg	14771.892025593072
5AOPtm_pos	0.0
5DHFtl_pos	3222.8607754421864
5FTHFt2_neg	0.0
5FTHFt2_pos	6.64494525643639
5HLTDL_pos	7.564678954088211
5HOMEPRAZOLEte_neg	7.510649772790002
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	519.8749762143515
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.6234711317170305
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15388.591228319961
5MTAte_pos	15159.400206195305
5MTHFt2_neg	1337.03150755925
5MTHFt2_pos	1337.03150755925
5MTHFt2le_neg	2440.38447519749
5MTHFt2le_pos	2440.38447519749
5MTHFt_neg	1337.03150755925
5MTHFt_pos	1337.03150755925
5OXPROt_neg	10396.485129364126
5OXPROt_pos	6283.768606962051
5THFtl_pos	3222.0169337447232
5THFtm_pos	3799.2145536267776
6DHFtl_pos	3478.6504786812416
6DHFtm_pos	3869.6009346551673
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	52612.50935303055
6HTSTSTERONEtr_neg	52612.50935303056
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3478.650478681242
6THFtm_pos	3869.600934655167
7DHCHSTEROLtr_neg	10994.168324856499
7DHCHSTEROLtr_pos	77312.35444439577
7DHFtl_pos	3620.782840327554
7DHFtm_pos	3917.8995929553103
7THFtl_pos	3620.7828403275544
7THFtm_pos	3917.899592955314
A4GALTc_pos	0.0
A4GALTg_pos	11522.163473482471
A4GNT1g_pos	0.0
A4GNT2g_pos	259.37955295622805
AACOAT_pos	4326.832652605817
AACTOOR_pos	12404.828197197785
AACTtm_pos	12404.828197197785
AASAD3m_pos	26.63166563019384
AATAi_neg	4005.998686951635
AATAi_pos	49.31911358948012
ABO1g_pos	10744.766879195582
ABO2g_pos	10359.081335810122
ABO3g_pos	10547.783396077251
ABO4g_pos	9741.423394554948
ABO5g_pos	9741.423394554948
ABO6g_pos	9118.575728443506
ABO7g_pos	9118.575728443506
ABO8g_pos	9405.887041368536
ABO9g_pos	8455.149452777756
ABTArm_neg	9634.193225999292
ABTArm_pos	12519.448787930478
ABTD_neg	5081.538585255617
ABTD_pos	8.026544768621621
ABTti_pos	5081.538585255616
ABUTD_pos	12747.982234918278
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	492.4873108102537
ABUTt2r_pos	616.2659101925747
ABUTt4_2_r_neg	616.2659101925747
ABUTt4_2_r_pos	492.4873108102537
ACACT10m_neg	13820.703952157268
