	Ob-DHA-a_S123_L007_R1_001
5HXKYNOXDA_pos	0.0
5MTAte_neg	15188.769782067497
5MTAte_pos	15032.85748484668
5MTHFt2_neg	1039.291107935989
5MTHFt2_pos	1039.291107935989
5MTHFt2le_neg	2380.050782464138
5MTHFt2le_pos	2380.050782464138
5MTHFt_neg	1039.291107935989
5MTHFt_pos	1039.291107935989
5OXPROt_neg	10229.071301575124
5OXPROt_pos	6079.686968495362
5THFtl_pos	3198.375101232111
5THFtm_pos	3772.71806415002
6DHFtl_pos	3441.2099496686164
6DHFtm_pos	3835.953575952536
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	51895.14404171756
6HTSTSTERONEtr_neg	51895.14404171754
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3441.2099496686164
6THFtm_pos	3835.953575952534
7DHCHSTEROLtr_neg	10917.751712665227
7DHCHSTEROLtr_pos	76208.64746404442
7DHFtl_pos	3576.4709348748033
7DHFtm_pos	3880.3120207447178
7THFtl_pos	3576.4709348748024
7THFtm_pos	3880.312020744717
A4GALTc_pos	0.0
A4GALTg_pos	11214.085129841429
A4GNT1g_pos	0.0
A4GNT2g_pos	253.70076570875958
AACOAT_pos	4117.217841758514
AACTOOR_pos	12144.033864936524
AACTtm_pos	12144.033864936524
AASAD3m_pos	26.373238912107052
AATAi_neg	3881.165037356065
AATAi_pos	48.700011696448016
ABO1g_pos	10471.477797142777
ABO2g_pos	10096.166207015629
ABO3g_pos	10270.776601889162
ABO4g_pos	9463.737267052486
ABO5g_pos	9463.737267052486
ABO6g_pos	8865.57194149791
ABO7g_pos	8865.57194149791
ABO8g_pos	9167.292081653162
ABO9g_pos	8241.905537451294
ABTArm_neg	9429.880494711853
ABTArm_pos	12418.323146031275
ABTD_neg	5065.398092195754
ABTD_pos	7.930217518585962
ABTti_pos	5065.398092195754
ABUTD_pos	12376.161049689434
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	518.9401390562468
ABUTt2r_pos	636.9531626055539
ABUTt4_2_r_neg	636.9531626055541
ABUTt4_2_r_pos	518.9401390562468
ACACT10m_neg	13553.244184581068
ACACT10m_pos	9716.331198844508
ACACT1r_neg	7102.298639682909
ACACT1r_pos	15968.605945289342
ACACT1rm_pos	5066.232861424081
ACACT1x_pos	9683.996167579782
ACACT4p_pos	24041.599347210016
ACACT5p_pos	24041.59934721002
ACACT6p_pos	24041.599347210013
ACACT7p_pos	23380.747643659495
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	395.5489700264769
