	WT-e_S150_L007_R1_001
ACCOAtr_neg	1669.6985145247193
ACCOAtr_pos	1669.6985145247193
ACETONEt2_neg	10825.853085364517
ACETONEt2_pos	5.624642844271315
ACETONEt2m_neg	10825.853085364522
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	11341.515631968812
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	11341.515631968812
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9739.113299340268
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9739.113299340268
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	9121.346972782963
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	9121.346972782963
ACGALK2_pos	554.6111401213401
ACGALK_pos	553.6461083020251
ACGALtlg_neg	928.5915087108921
ACGALtlg_pos	0.0
ACGALtly_pos	553.646108302025
ACGAM2E_neg	4158.782806907594
ACGAM2E_pos	30669.865943583893
ACGAM6PSi_pos	3564.3771448076022
ACGAMK_pos	4158.782806907595
ACGAMPM_neg	0.0
ACGAMPM_pos	4158.782806907595
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	928.5915087108921
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	928.5915087108921
ACGPID_pos	51.85745102040883
ACGSm_pos	0.0
ACHEe_pos	5467.0482500198705
ACHVESSEC_pos	4170.28256175427
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	6114.032227127206
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11428.535354789054
ACN13ACNGALGBSIDEtg_neg	11428.535354789055
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11428.535354789054
ACN23ACNGALGBSIDEtg_neg	11428.535354789055
