	Ob-DHA-c_S138_L007_R1_001
5ADTSTSTERONEte_neg	55047.512389515425
5ADTSTSTERONEte_pos	7.1998506949949395
5ADTSTSTERONEtr_neg	38.43096233695336
5ADTSTSTERONEtr_pos	55046.85564601505
5AOPtm_neg	14558.92782612396
5AOPtm_pos	0.0
5DHFtl_pos	3205.777481917905
5FTHFt2_neg	0.0
5FTHFt2_pos	6.4446578930398335
5HLTDL_pos	7.47729179118987
5HOMEPRAZOLEte_neg	7.40542177273861
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	436.4860581435804
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.4336755355135535
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15083.623154770625
5MTAte_pos	15039.139649750268
5MTHFt2_neg	1281.6606958362863
5MTHFt2_pos	1281.6606958362863
5MTHFt2le_neg	2357.769589658734
5MTHFt2le_pos	2357.769589658734
5MTHFt_neg	1281.6606958362863
5MTHFt_pos	1281.6606958362863
5OXPROt_neg	10164.15137196497
5OXPROt_pos	6055.39397382339
5THFtl_pos	3204.0034952061474
5THFtm_pos	3770.161747827133
6DHFtl_pos	3442.9733066532217
6DHFtm_pos	3833.806183577265
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	51820.40682616914
6HTSTSTERONEtr_neg	51820.40682616915
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3442.9733066532226
6THFtm_pos	3833.806183577265
7DHCHSTEROLtr_neg	10889.820067003579
7DHCHSTEROLtr_pos	75998.15461157612
7DHFtl_pos	3576.8368579810804
7DHFtm_pos	3878.9247181487412
7THFtl_pos	3576.83685798108
7THFtm_pos	3878.924718148743
A4GALTc_pos	0.0
A4GALTg_pos	11081.054241580912
A4GNT1g_pos	0.0
A4GNT2g_pos	251.31753319983827
AACOAT_pos	4080.559181341917
AACTOOR_pos	12147.828616855806
AACTtm_pos	12147.828616855806
AASAD3m_pos	26.107730927476318
AATAi_neg	3878.2969634001747
AATAi_pos	48.54243009026629
ABO1g_pos	10444.42285961241
ABO2g_pos	10068.108563360798
ABO3g_pos	10201.91080273587
ABO4g_pos	9425.725589264086
ABO5g_pos	9425.725589264086
ABO6g_pos	8826.741312451753
ABO7g_pos	8826.741312451753
ABO8g_pos	9100.578020366895
ABO9g_pos	8198.387618877096
ABTArm_neg	9374.392581803562
ABTArm_pos	12295.295875293403
ABTD_neg	5067.541320450081
ABTD_pos	7.873029330504305
ABTti_pos	5067.541320450081
ABUTD_pos	12217.932283371425
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	499.6075899264005
