	WT-911-a_S119_L007_R1_001	WT-DHA-c_S134_L007_R1_001	WT-EPA-d_S142_L007_R1_001	Ob-a_S121_L007_R1_001
RE3499C_pos	0.0	0.0	0.0	0.0
RE3499C_neg	0.0	0.0	0.0	0.0
RE3500C_pos	0.0	0.0	0.0	0.0
RE3500C_neg	0.0	0.0	0.0	0.0
RE3500R_pos	0.0	0.0	0.0	0.0
RE3500R_neg	0.0	0.0	0.0	0.0
RE3500X_pos	0.0	0.0	0.0	0.0
RE3500X_neg	0.0	0.0	0.0	0.0
RE3501C_pos	0.0	0.0	0.0	0.0
RE3501C_neg	0.0	0.0	0.0	0.0
RE3501R_pos	0.0	0.0	0.0	0.0
RE3501R_neg	0.0	0.0	0.0	0.0
RE3501X_pos	0.0	0.0	0.0	0.0
RE3501X_neg	0.0	0.0	0.0	0.0
RE3502C_pos	6.24355484277846	6.822220271621528	6.197511592107616	7.872213143975773
RE3502C_neg	6.24355484277846	6.822220271621528	6.197511592107616	7.872213143975773
RE3502X_pos	0.0	0.0	0.0	0.0
RE3502X_neg	0.0	0.0	0.0	0.0
RE3503C_pos	0.0	0.0	0.0	0.0
RE3503N_pos	0.070389327891398	0.0	0.0	0.0
RE3506C_pos	0.0	0.0	0.0	0.0
RE3506R_pos	0.0	0.0	0.0	0.0
RE3511C_pos	0.0	0.0	0.0	0.0
RE3511M_pos	0.0	0.0	0.0	0.0
RE3511R_pos	0.0	0.0	0.0	0.0
RE3513C_pos	0.0	0.0	0.0	0.0
RE3513N_pos	0.070389327891398	0.0	0.0	0.0
RE3513R_pos	0.0	0.0	0.0	0.0
RE3514C_pos	0.0	0.0	0.0	0.0
RE3514R_pos	0.0	0.0	0.0	0.0
RE3515C_pos	0.0	0.0	0.0	0.0
RE3515C_neg	0.0	0.0	0.0	0.0
RE3518C_pos	0.0	0.0	0.0	0.0
RE3518R_pos	0.0	0.0	0.0	0.0
RE3519C_pos	0.0	0.0	0.0	0.0
