	WT.d_S141_L007_R1_001
4HDEBRISOQUINEte_neg	7.541744075508214
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1361.1325930607045
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	11076.493199468974
4HPROLTASCT1_pos	1952.5853959618119
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	4136.868042558153
4MOPte_neg	7476.533207161265
4MOPte_pos	7805.636638830562
4MPTNLte_neg	0.0
4MPTNLte_pos	62016.924244122
4MPTNLtm_neg	62016.92424412198
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.541744075508214
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	23.0361614080305
4NPHSFte_pos	0.0
4NPHSULT_pos	23.0361614080305
4NPHte_neg	0.0
4NPHte_pos	14.230385941295618
4OHPROIMINOtc_pos	1952.5853959618119
4PYRDX_pos	8115.4564275209295
5ADTSTSTERONEGLCte_pos	70249.20399682803
5ADTSTSTERONEGLCtr_neg	70249.203996828
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	8185.916216225476
5ADTSTSTERONESte_neg	8.357876137304295
5ADTSTSTERONESte_pos	55748.189948316234
5ADTSTSTERONEte_neg	56427.650671640964
5ADTSTSTERONEte_pos	7.2463191545535155
5ADTSTSTERONEtr_neg	39.551545122615366
5ADTSTSTERONEtr_pos	56424.81459346242
5AOPtm_neg	14807.447219626983
5AOPtm_pos	0.0
5DHFtl_pos	3247.162465623649
5FTHFt2_neg	0.0
5FTHFt2_pos	6.821166041187587
5HLTDL_pos	7.5852785260848234
5HOMEPRAZOLEte_neg	7.541744075508214
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	545.7761870914603
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.713522317250259
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15494.728367570364
5MTAte_pos	15360.98913931763
5MTHFt2_neg	1385.3992695617358
5MTHFt2_pos	1385.3992695617358
5MTHFt2le_neg	2510.0758146928056
5MTHFt2le_pos	2510.0758146928056
5MTHFt_neg	1385.3992695617358
5MTHFt_pos	1385.3992695617358
5OXPROt_neg	10487.297401512895
5OXPROt_pos	6331.71135034248
5THFtl_pos	3246.676944496071
5THFtm_pos	3831.2116206382057
6DHFtl_pos	3516.628001696187
6DHFtm_pos	3908.41699291149
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	53095.965990811106
6HTSTSTERONEtr_neg	53095.965990811106
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3516.628001696187
6THFtm_pos	3908.416992911491
7DHCHSTEROLtr_neg	11043.693375946914
7DHCHSTEROLtr_pos	77773.64382435789
7DHFtl_pos	3666.3189827288916
7DHFtm_pos	3960.4870236408606
7THFtl_pos	3666.3189827288916
7THFtm_pos	3960.4870236408606
A4GALTc_pos	0.0
A4GALTg_pos	11667.465285456077
A4GNT1g_pos	0.0
A4GNT2g_pos	262.5804281870622
AACOAT_pos	4435.795398977856
AACTOOR_pos	12452.806612888533
AACTtm_pos	12452.806612888533
AASAD3m_pos	26.939545738547583
AATAi_neg	4009.9780441894845
AATAi_pos	49.50434645787838
ABO1g_pos	10862.952106066752
ABO2g_pos	10475.819069645755
ABO3g_pos	10663.645741678716
ABO4g_pos	9823.633135874457
ABO5g_pos	9823.633135874457
ABO6g_pos	9202.52183709292
ABO7g_pos	9202.52183709292
ABO8g_pos	9514.597206402355
ABO9g_pos	8559.73099640113
ABTArm_neg	9780.086400615923
ABTArm_pos	12568.859847425229
ABTD_neg	5088.354608649513
ABTD_pos	8.143816488007117
ABTti_pos	5088.354608649513
ABUTD_pos	12686.772415124366
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	531.0612768795781
ABUTt2r_pos	660.5898820263238
ABUTt4_2_r_neg	660.5898820263238
ABUTt4_2_r_pos	531.0612768795781
ACACT10m_neg	13905.198342436452
ACACT10m_pos	10032.766326039568
ACACT1r_neg	7689.5642175818075
ACACT1r_pos	16656.94705392144
ACACT1rm_pos	5425.441306304566
ACACT1x_pos	10281.85819482435
ACACT4p_pos	25099.016245887004
ACACT5p_pos	25099.016245887
ACACT6p_pos	25099.01624588701
ACACT7p_pos	24415.923335627973
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	511.7989597515911
ACACt2_pos	511.7989597515911
ACACt2m_neg	1322.5390361982436
ACACt2m_pos	1322.5390361982436
ACACtx_neg	5987.460541131461
ACACtx_pos	0.0
ACALDt_neg	6477.263522324594
ACALDt_pos	5.286057977679648
ACALDtm_neg	9145.990664825169
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	55412.78376065198
ACALDtx_neg	0.0
ACALDtx_pos	11.878595309061684
ACCOAC_pos	4355.068886307101
ACCOACm_pos	4331.13191536246
ACCOAL_pos	3390.783961155255
ACCOALm_pos	4443.304543785383
ACCOAgt_neg	0.0
ACCOAgt_pos	19915.98628344445
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1621.5422802915184
ACCOAtr_pos	1621.5422802915184
ACETONEt2_neg	10790.410277905166
ACETONEt2_pos	5.664571436964088
ACETONEt2m_neg	10790.410277905166
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	11437.695685725907
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	11437.695685725905
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9823.63313587446
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9823.633135874456
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	9202.521837092918
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	9202.52183709292
ACGALK2_pos	562.0454825874559
ACGALK_pos	561.0579226998711
ACGALtlg_neg	941.0889606494568
ACGALtlg_pos	0.0
ACGALtly_pos	561.0579226998711
ACGAM2E_neg	4331.622059889946
ACGAM2E_pos	30934.009475448685
ACGAM6PSi_pos	3614.0228333053333
ACGAMK_pos	4331.622059889946
ACGAMPM_neg	0.0
ACGAMPM_pos	4331.622059889946
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	941.0889606494568
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	941.0889606494568
ACGPID_pos	52.549707878794656
ACGSm_pos	0.0
ACHEe_pos	5602.388293522247
ACHVESSEC_pos	4203.878707052147
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	6110.282665726644
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11603.666969777018
ACN13ACNGALGBSIDEtg_neg	11603.666969777021
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11603.666969777018
ACN23ACNGALGBSIDEtg_neg	11603.666969777021
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12830.856319091392
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12830.856319091401
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11626.50347346768
ACNACNGALGBSIDEtg_neg	11626.503473467683
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8858.66208273966
ACNAM9PL_pos	8537.753842162147
ACNAMPH_pos	8537.753842162147
ACNAMlt_neg	18348.452241723167
ACNAMlt_pos	0.0
ACNAMtn_pos	8886.50063075186
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10489.585104851069
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10489.585104851069
ACNMLr_neg	19210.12651159016
