	Ob.911.a_S124_L007_R1_001
3MOX4HOXPGALDOX_NADP__neg	768.0223077221708
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	768.0223077221708
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14382.608327930457
3SALAASPm_pos	0.0
3SALACBOXL_pos	9879.285862270672
3SALAOX_pos	26367.204212223536
3SALATAi_pos	13588.070244306791
3SALATAim_pos	14382.608327930453
3SPYRSP_pos	13588.070244306791
3SPYRSPm_pos	14382.608327930453
41R1H2MAE12BOOX_pos	39126.34678158107
41R2A1H12BOOX_pos	31352.880584298444
42A12BOOX_pos	0.0
4ABUTtcn_pos	9435.54514395481
4ABUTtm_neg	9354.160236366519
4ABUTtm_pos	12420.678041188274
4HBZCOAFm_pos	44996.54277097637
4HBZFm_pos	44996.54277097637
4HDEBRISOQUINEte_neg	7.464809818286431
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1305.5415112296682
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	10702.526195596212
4HPROLTASCT1_pos	1682.37210161061
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	4009.176481038882
4MOPte_neg	7263.559847412993
4MOPte_pos	7546.201498100167
4MPTNLte_neg	0.0
4MPTNLte_pos	60749.479386114755
4MPTNLtm_neg	60749.47938611478
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.464809818286432
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.274972584572247
4NPHSFte_pos	0.0
4NPHSULT_pos	22.274972584572247
4NPHte_neg	0.0
4NPHte_pos	14.062845317014798
4OHPROIMINOtc_pos	1682.37210161061
4PYRDX_pos	7938.504933457635
5ADTSTSTERONEGLCte_pos	68538.10903264768
5ADTSTSTERONEGLCtr_neg	68538.1090326477
