	WT.1012.e_S152_L007_R1_001	WT.911.d_S144_L007_R1_001	Ob.DHA.d_S147_L007_R1_001	WT.b_S126_L007_R1_001
ABUTt2rL_pos	3.9476661567960103	3.975446765640962	3.374343989038501	3.5434958834257717
ABUTt2rL_neg	3.9476661567960103	3.975446765640962	3.374343989038501	3.5434958834257717
ABUTt4_2_r_pos	7.5748583912927785	7.362469888750209	7.67856492951689	7.221297103163338
ABUTt4_2_r_neg	7.5748583912927785	7.362469888750209	7.67856492951689	7.221297103163338
ACACT10m_pos	8.09808473510341	7.746783016960983	8.64190723562928	8.00410808063294
ACACT10m_neg	8.09808473510341	7.746783016960983	8.64190723562928	8.00410808063294
ACACT1r_pos	5.418527302101609	5.433293325815009	6.45038647903429	5.806324057390029
ACACT1r_neg	5.418527302101609	5.433293325815009	6.45038647903429	5.806324057390029
ACACT1rm_pos	8.074168228645975	7.740387932468353	8.66020987335256	8.007195501404203
ACACT1x_pos	5.418527302101609	5.433293325815009	6.45038647903429	5.806324057390029
ACACt2_pos	5.363171077119244	5.434628227636725	6.753016128735835	5.345538310070007
ACACt2_neg	5.363171077119244	5.434628227636725	6.753016128735835	5.345538310070007
ACACt2m_pos	4.444932048942182	4.342696959981934	5.505573400282018	4.66732447027863
ACACt2m_neg	4.444932048942182	4.342696959981934	5.505573400282018	4.66732447027863
ACACT4p_pos	0.0	0.0	0.0	0.0
ACACT5p_pos	0.0	0.0	0.0	0.0
ACACT6p_pos	0.0	0.0	0.0	0.0
ACACT7p_pos	0.0	0.0	0.0	0.0
ACACT8p_pos	0.0	0.0	0.0	0.0
ACACT9p_pos	0.0	0.0	0.0	0.0
ACACtx_pos	0.0	0.0	0.0	0.0
ACACtx_neg	0.0	0.0	0.0	0.0
ACALDt_pos	0.0	0.0	0.0	0.0
ACALDt_neg	0.0	0.0	0.0	0.0
ACALDtm_pos	0.0	0.0	0.0	0.0
ACALDtm_neg	0.0	0.0	0.0	0.0
ACALDtr_pos	0.0	0.0	0.0	0.0
ACALDtr_neg	0.0	0.0	0.0	0.0
ACALDtx_pos	0.0	0.0	0.0	0.0
ACALDtx_neg	0.0	0.0	0.0	0.0
ACCOAC_pos	7.430452551665532	7.624356824513509	9.112126693458364	7.297695831346188
ACCOACm_pos	4.590961241342599	5.264911693074464	5.850249358286328	4.9818526532897405
ACCOAgt_pos	5.224580566083445	5.087887100933117	5.168722254360655	5.108524456778169
ACCOAgt_neg	5.224580566083445	5.087887100933117	5.168722254360655	5.108524456778169
ACCOAL_pos	6.549515160046773	7.2006534363674675	7.682081641088774	7.356936088694587
ACCOALm_pos	0.8718436485093178	0.35614381022527536	0.070389327891398	0.08406426478847456
ACCOAtn_pos	0.0	0.0	0.0	0.0
ACCOAtn_neg	0.0	0.0	0.0	0.0
ACCOAtr_pos	5.224580566083445	5.087887100933117	5.168722254360655	5.108524456778169
ACCOAtr_neg	5.224580566083445	5.087887100933117	5.168722254360655	5.108524456778169
ACETONEt2_pos	5.363171077119244	5.434628227636725	6.755154643177265	5.351910961103077
ACETONEt2_neg	5.363171077119244	5.434628227636725	6.755154643177265	5.351910961103077
ACETONEt2m_pos	4.444932048942182	4.342696959981934	5.505573400282018	4.66732447027863
ACETONEt2m_neg	4.444932048942182	4.342696959981934	5.505573400282018	4.66732447027863
ACGAGBSIDEtg_pos	0.0	0.0	0.0	0.0
ACGAGBSIDEtg_neg	0.0	0.0	0.0	0.0
ACGAGBSIDEtl_pos	0.0	0.0	0.0	0.0
ACGAGBSIDEtl_neg	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0
ACGALK_pos	0.0	0.0	0.0	0.0
ACGALK2_pos	0.0	0.0	0.0	0.0
ACGALtlg_pos	0.0	0.0	0.0	0.0
ACGALtlg_neg	0.0	0.0	0.0	0.0
ACGALtly_pos	0.0	0.0	0.0	0.0
ACGAM2E_pos	1.613531652917927	1.6229303509201767	2.0565835283663674	1.875780063068488
ACGAM2E_neg	1.613531652917927	1.6229303509201767	2.0565835283663674	1.875780063068488
ACGAM6PSi_pos	5.447579196548882	5.418189947945766	5.351557662450426	5.214901910160696
ACGAMK_pos	3.1391420191456887	3.2063306478710496	4.699329525673156	3.5046203924035524
ACGAMPM_pos	2.613531652917927	2.521050736900963	3.15704371014558	2.835924074254375
ACGAMPM_neg	2.613531652917927	2.521050736900963	3.15704371014558	2.835924074254375
ACGAMtly_pos	0.0	0.0	0.0	0.0
ACGBGBSIDEtg_pos	0.0	0.0	0.0	0.0
ACGBGBSIDEtg_neg	0.0	0.0	0.0	0.0
ACGBGBSIDEtl_pos	0.0	0.0	0.0	0.0
ACGBGBSIDEtl_neg	0.0	0.0	0.0	0.0
ACGPID_pos	2.7484612330040354	2.0738202332916713	2.643856189774725	2.150559676575381
ACGSm_pos	5.073391816052921	5.3026846141183785	4.836429131161648	5.207111961207714
ACHEe_pos	0.32192809488736235	0.6690267655096306	0.3103401206121505	0.13750352374993502
ACHtn_pos	0.0	0.0	0.0	0.0
ACHtn_neg	0.0	0.0	0.0	0.0
ACHVESSEC_pos	0.0	0.0	0.0	0.0
ACITL_pos	7.247927513443585	7.476219650723027	8.905898401662144	7.002252451731379
ACN13ACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0
ACNAM9PL_pos	3.089159131911238	3.0531113364595623	3.7676547982373463	3.4154882710497003
ACNAM9PL2_pos	3.089159131911238	3.0531113364595623	3.7676547982373463	3.4154882710497003
ACNAMlt_pos	4.478324711485028	4.322649262131017	4.215678596607928	4.254745197629213
ACNAMlt_neg	4.478324711485028	4.322649262131017	4.215678596607928	4.254745197629213
ACNAMPH_pos	0.0	0.0	0.0	0.0
ACNAMtn_pos	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0
ACNMLr_pos	0.0	0.0	0.0	0.0
ACNMLr_neg	0.0	0.0	0.0	0.0
ACOAD10m_pos	7.842476062993939	7.700855820160289	8.491332029033206	7.638363505897862
ACOAD1fm_pos	9.142694229584272	8.940460428863656	9.70154905694307	8.906620064925308
ACOAD8m_pos	6.703211467391146	6.587064898363171	6.219168520462161	6.37695017094954
ACOAD9m_pos	7.625489682868451	7.543882488739576	8.476543706214256	7.5241107030566585
ACOAHi_pos	6.335211681705785	6.17951105027151	6.512700963425246	5.919101679559393
ACOAO7p_pos	9.289811415801141	8.99723594539198	10.140471927804413	9.246099258166561
ACOATA_pos	6.884842093799463	6.764738923023377	9.103104180993917	6.7608862427849115
ACOATA_neg	6.884842093799463	6.764738923023377	9.103104180993917	6.7608862427849115
ACODA_pos	5.098453246309274	5.287250643254617	5.058749412335524	4.670160514126633
ACONT_pos	6.791032616755671	6.539624121559054	6.829595899177507	6.2686589550276715
ACONT_neg	6.791032616755671	6.539624121559054	6.829595899177507	6.2686589550276715
ACONTm_pos	7.295355692891672	7.2445065513959195	8.042753760977197	7.043191372276796
ACONTm_neg	7.295355692891672	7.2445065513959195	8.042753760977197	7.043191372276796
ACOX22x_pos	6.6570683012015754	6.721235930571739	6.774918806557193	6.560103513464738
ACOX2x_pos	6.6570683012015754	6.721235930571739	6.774918806557193	6.560103513464738
ACP1_FMN__pos	4.546585829008101	4.57106999816771	4.956985924612576	4.75595576955096
ACRNtm_pos	5.982765462583646	5.665051614289214	7.330737650206952	6.090853430451113
ACS_pos	6.781884234541486	7.363521543546545	8.036723106005525	7.462379571841023
ACS2_pos	6.781884234541486	7.363521543546545	8.036723106005525	7.462379571841023
ACSm_pos	0.8718436485093178	0.35614381022527536	0.070389327891398	0.08406426478847456
ACSOMT_pos	0.0	0.0	0.0	0.0
ACSRTNMT_pos	0.0	0.0	0.0	0.0
ACt2m_pos	0.0	0.0	0.0	0.0
ACt2m_neg	0.0	0.0	0.0	0.0
ACt2r_pos	0.0	0.0	0.0	0.0
ACt2r_neg	0.0	0.0	0.0	0.0
ACtg_pos	0.0	0.0	0.0	0.0
ACtg_neg	0.0	0.0	0.0	0.0
ACTLMO_pos	12.21106696539129	12.032565802594181	11.429568891742356	11.61935339841637
ACTNMO_pos	12.21106696539129	12.032565802594181	11.429568891742356	11.61935339841637
ACYP_pos	3.845991770664573	4.025028794491522	4.4409521980296365	4.064365540263628
ADA_pos	0.8559896973084807	0.8155754288625726	1.2265085298086797	1.1890338243900171
ADAe_pos	0.8559896973084807	0.8155754288625726	1.2265085298086797	1.1890338243900171
ADCim_pos	0.0	0.0	0.0	0.0
ADEt_pos	0.7824085649273732	0.6599245584023783	0.5753123306874368	0.3895668117627256
ADEt_neg	0.7824085649273732	0.6599245584023783	0.5753123306874368	0.3895668117627256
ADEtl_pos	1.944858445807539	2.032100843167024	1.6369145803558778	1.6507645591169025
ADEtl_neg	1.944858445807539	2.032100843167024	1.6369145803558778	1.6507645591169025
ADHAPtx_pos	0.0	0.0	0.0	0.0
ADHAPtx_neg	0.0	0.0	0.0	0.0
ADK1_pos	7.342874708400922	7.06888573730101	7.636262088806375	7.146899560343589
ADK1_neg	7.342874708400922	7.06888573730101	7.636262088806375	7.146899560343589
ADK1m_pos	7.547665748353421	7.291308859828971	7.822921305117366	7.331723128274878
ADK1m_neg	7.547665748353421	7.291308859828971	7.822921305117366	7.331723128274878
ADK3_pos	0.0	0.21412480535284734	0.16349873228287956	0.18903382439001715
ADK3_neg	0.0	0.21412480535284734	0.16349873228287956	0.18903382439001715
ADK3m_pos	7.623515741490549	7.630813152299126	7.828136484194107	7.451046222976684
ADK3m_neg	7.623515741490549	7.630813152299126	7.828136484194107	7.451046222976684
ADKd_pos	0.0	0.21412480535284734	0.16349873228287956	0.18903382439001715
ADKd_neg	0.0	0.21412480535284734	0.16349873228287956	0.18903382439001715
ADMDC_pos	3.9541963103868754	3.8278190246173196	3.76659516172927	3.9174317553901044
ADNCYC_pos	4.431622959713293	4.4356285940520905	4.870364719583404	4.273515889702116
ADNK1_pos	8.805614910406572	8.870395546071176	9.360825141882904	8.500045140593762
ADNK1m_pos	0.0	0.0	0.0	0.0
ADNt_pos	6.976478203534361	7.345005983008724	6.506684447730761	7.237162149025216
ADNt_neg	6.976478203534361	7.345005983008724	6.506684447730761	7.237162149025216
ADNt4_pos	0.47508488294878287	0.46466826700344427	0.6507645591169023	0.3785116232537299
ADNtl_pos	1.944858445807539	2.032100843167024	1.6369145803558778	1.6507645591169025
ADNtl_neg	1.944858445807539	2.032100843167024	1.6369145803558778	1.6507645591169025
ADNtm_pos	6.968205978676912	7.339850002884624	6.498889086976805	7.234194722953812
