	exTreg_Lymph_exTreg1_L1
4MOPt2im_pos	6017.739714370997
4MOPte_neg	8708.548955854485
4MOPte_pos	8435.171773127437
4MPTNLte_neg	0.0
4MPTNLte_pos	78035.50075314268
4MPTNLtm_neg	78035.50075314265
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.063326929592346
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	28.975703727203328
4NPHSFte_pos	0.0
4NPHSULT_pos	28.975703727203335
4NPHte_neg	0.0
4NPHte_pos	16.79596179571403
4OHPROIMINOtc_pos	2657.4746210318626
4PYRDX_pos	9885.438386787137
5ADTSTSTERONEGLCte_pos	90627.13439163275
5ADTSTSTERONEGLCtr_neg	90627.13439163282
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	12294.500468247339
5ADTSTSTERONESte_neg	8.902199279724005
5ADTSTSTERONESte_pos	71083.37649113759
5ADTSTSTERONEte_neg	73148.78593050179
5ADTSTSTERONEte_pos	8.291753218480807
5ADTSTSTERONEtr_neg	43.64779725703117
5ADTSTSTERONEtr_pos	73159.50250813464
5AOPtm_neg	21475.771121350346
5AOPtm_pos	0.0
5DHFtl_pos	3725.256986922303
5FTHFt2_neg	0.0
5FTHFt2_pos	10.60627614211176
5HLTDL_pos	9.318208901368434
5HOMEPRAZOLEte_neg	7.493249094334863
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	2710.609789797586
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	9.343754563942497
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	20932.438547560403
5MTAte_pos	16843.128245669093
5MTHFt2_neg	1684.100555626866
5MTHFt2_pos	1684.100555626866
5MTHFt2le_neg	2253.3494077029027
5MTHFt2le_pos	2253.3494077029027
5MTHFt_neg	1684.100555626866
5MTHFt_pos	1643.5619472248895
5OXPROt_neg	16014.9447245768
5OXPROt_pos	9006.983813598046
5THFtl_pos	3725.256986922303
5THFtm_pos	6294.665854589306
6DHFtl_pos	4445.980777312494
6DHFtm_pos	6680.346230368594
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	67901.32219994489
6HTSTSTERONEtr_neg	67901.32219994487
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	4445.980777312494
6THFtm_pos	6680.3462303685965
7DHCHSTEROLtr_neg	12689.728911435743
7DHCHSTEROLtr_pos	108865.25025451845
7DHFtl_pos	4926.463304239283
7DHFtm_pos	6937.98028018686
7THFtl_pos	4926.463304239285
7THFtm_pos	6937.980280186867
A4GALTc_pos	0.0
A4GALTg_pos	14897.627284181264
A4GNT1g_pos	0.0
A4GNT2g_pos	317.4188156037733
AACOAT_pos	9787.228233563415
AACTOOR_pos	17255.392921884137
AACTtm_pos	17255.392921884137
AASAD3m_pos	53.44776055637894
AATAi_neg	8148.2638668153395
AATAi_pos	73.74135552808457
ABO1g_pos	13718.647034866968
ABO2g_pos	12788.480680519664
ABO3g_pos	13271.578301343583
ABO4g_pos	12563.6099607239
ABO5g_pos	12563.6099607239
ABO6g_pos	11901.01695380712
ABO7g_pos	11901.01695380712
ABO8g_pos	12014.154440344739
ABO9g_pos	10748.53673629176
ABTArm_neg	16141.015863185548
ABTArm_pos	20011.47510653317
ABTD_neg	5246.339504796066
ABTD_pos	9.512283900471406
ABTti_pos	5246.339504796066
ABUTD_pos	23557.29713130346
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	1216.4652314303917
ABUTt2r_pos	1186.8275502124666
ABUTt4_2_r_neg	1186.8275502124666
ABUTt4_2_r_pos	1216.4652314303917
ACACT10m_neg	24463.93621013746
