	WT.DHA.c_S134_L007_R1_001
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	8880.539054364597
ACGALK2_pos	549.8582566771245
ACGALK_pos	548.8941227761596
ACGALtlg_neg	916.2246756576931
ACGALtlg_pos	0.0
ACGALtly_pos	548.8941227761597
ACGAM2E_neg	3814.988001429891
ACGAM2E_pos	29918.992437568188
ACGAM6PSi_pos	3443.280499212717
ACGAMK_pos	3814.9880014298906
ACGAMPM_neg	0.0
ACGAMPM_pos	3814.988001429891
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	916.224675657693
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	916.224675657693
ACGPID_pos	50.405937704196376
ACGSm_pos	0.0
ACHEe_pos	5432.171389170104
ACHVESSEC_pos	4100.9314130333505
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5951.562969118001
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11182.477088057558
ACN13ACNGALGBSIDEtg_neg	11182.477088057558
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11182.477088057558
ACN23ACNGALGBSIDEtg_neg	11182.477088057558
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12382.057675941627
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12382.057675941614
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11209.804415626888
ACNACNGALGBSIDEtg_neg	11209.804415626888
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8541.20786780715
ACNAM9PL_pos	8300.714737162305
ACNAMPH_pos	8300.714737162305
ACNAMlt_neg	17841.17967736601
ACNAMlt_pos	0.0
ACNAMtn_pos	8775.144138200352
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10132.358656999104
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10132.358656999106
ACNMLr_neg	18535.992520759195
ACNMLr_pos	8300.714737162305
ACOAD10m_pos	305.07849238640716
ACOAD1fm_pos	18358.955668174334
ACOAD8m_pos	316.89952075075
ACOAD9m_pos	11966.214882318605
ACOAHi_pos	3274.26605582839
ACOAO7p_pos	17888.05589410661
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1184.8331977231026
ACONT_pos	1184.8331977231026
