	WT.d_S141_L007_R1_001	Ob.DHA.e_S154_L007_R1_001	WT.1012.c_S135_L007_R1_001	Ob.DHA.b_S132_L007_R1_001
EX_HC02161(e)_neg	0.0	0.0	0.0	0.0
EX_itp(e)_pos	0.0	0.0	0.0	0.0
EX_itp(e)_neg	0.0	0.0	0.0	0.0
EX_orot(e)_pos	0.0	0.0	0.0	0.0
EX_orot(e)_neg	0.0	0.0	0.0	0.0
EX_prpp(e)_pos	0.0	0.0	0.0	0.0
EX_prpp(e)_neg	0.0	0.0	0.0	0.0
EX_ptrc(e)_pos	0.0	0.0	0.0	0.0
EX_ptrc(e)_neg	0.0	0.0	0.0	0.0
EX_pydx5p(e)_pos	0.0	0.0	0.0	0.0
EX_pydx5p(e)_neg	0.0	0.0	0.0	0.0
EX_spmd(e)_pos	0.0	0.0	0.0	0.0
EX_spmd(e)_neg	0.0	0.0	0.0	0.0
EX_udpg(e)_pos	0.0	0.0	0.0	0.0
EX_udpg(e)_neg	0.0	0.0	0.0	0.0
r0002_pos	0.0	0.0	0.0	0.0
r0002_neg	0.0	0.0	0.0	0.0
r0009_pos	7.324360590927085	7.926948247949772	7.546894459887636	7.952217064973338
r0010_pos	10.429071922089568	10.69333884714513	10.556975381093771	10.671408378662901
r0013_pos	2.8251071910352237	4.475084882948782	3.351439877003907	4.4331820282226
r0016_pos	0.0	0.0	0.0	0.0
r0016_neg	0.0	0.0	0.0	0.0
r0021_pos	4.832383716549127	5.394719912994065	5.011674533380918	5.43229133824778
r0021_neg	4.832383716549127	5.394719912994065	5.011674533380918	5.43229133824778
r0022_pos	4.832383716549127	5.394719912994065	5.011674533380918	5.43229133824778
r0022_neg	4.832383716549127	5.394719912994065	5.011674533380918	5.43229133824778
r0027_pos	5.451540833017832	6.6405341693910955	5.824258696603374	6.603626344986192
r0027_neg	5.451540833017832	6.6405341693910955	5.824258696603374	6.603626344986192
r0028_pos	1.4005379295837286	2.3015876466031866	1.3673710656485294	2.5008020530571575
