	WT-DHA-b_S128_L007_R1_001
AATAi_pos	49.42622603723298
ABO1g_pos	10857.194372247963
ABO2g_pos	10471.633146778326
ABO3g_pos	10667.066580133509
ABO4g_pos	9841.844561530475
ABO5g_pos	9841.844561530475
ABO6g_pos	9217.00657479876
ABO7g_pos	9217.00657479876
ABO8g_pos	9516.17006994859
ABO9g_pos	8558.825453167869
ABTArm_neg	9718.080135031278
ABTArm_pos	12600.550234309925
ABTD_neg	5075.947890003569
ABTD_pos	8.058560037917353
ABTti_pos	5075.947890003569
ABUTD_pos	12641.486455959037
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	519.6012383866747
ABUTt2r_pos	648.9367589188478
ABUTt4_2_r_neg	648.9367589188478
ABUTt4_2_r_pos	519.6012383866747
ACACT10m_neg	13841.342603490588
ACACT10m_pos	9924.040939482376
ACACT1r_neg	7593.177483924582
ACACT1r_pos	16667.127623133616
ACACT1rm_pos	5377.687051059839
ACACT1x_pos	10168.900894340031
ACACT4p_pos	24936.438052155456
ACACT5p_pos	24936.438052155456
ACACT6p_pos	24936.438052155456
ACACT7p_pos	24261.79720218396
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	495.2763363631251
ACACt2_pos	495.2763363631251
ACACt2m_neg	1322.477617275475
ACACt2m_pos	1322.477617275475
ACACtx_neg	5983.130363643719
ACACtx_pos	0.0
ACALDt_neg	6494.916831002888
ACALDt_pos	5.262354086839848
ACALDtm_neg	9295.777313667195
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	55230.5225418277
ACALDtx_neg	0.0
ACALDtx_pos	11.857513583754388
ACCOAC_pos	4388.002530069155
ACCOACm_pos	4346.376224047966
ACCOAL_pos	3417.378268993573
ACCOALm_pos	4726.406946801602
ACCOAgt_neg	0.0
ACCOAgt_pos	19860.503326404803
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1602.2733629079464
ACCOAtr_pos	1602.2733629079464
ACETONEt2_neg	10821.277452732527
ACETONEt2_pos	5.618222975083542
ACETONEt2m_neg	10821.277452732524
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	11415.299541967317
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	11415.299541967317
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9841.844561530472
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9841.84456153047
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	9217.006574798757
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	9217.00657479876
ACGALK2_pos	560.373175286076
ACGALK_pos	559.4000355725101
ACGALtlg_neg	936.7971646506496
ACGALtlg_pos	0.0
ACGALtly_pos	559.4000355725101
ACGAM2E_neg	4177.976208241076
ACGAM2E_pos	30824.661519459107
ACGAM6PSi_pos	3615.0047280890344
ACGAMK_pos	4177.976208241077
ACGAMPM_neg	0.0
ACGAMPM_pos	4177.976208241077
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	936.7971646506496
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	936.7971646506496
ACGPID_pos	52.109733404343174
ACGSm_pos	0.0
ACHEe_pos	5640.584540152658
ACHVESSEC_pos	4228.643385014594
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	6082.321298019957
ACN13ACNGALGBSIDEte_neg	0.0
