	WT-a_S116_L007_R1_001
7DHFtm_pos	3902.1066257739867
7THFtl_pos	3619.658953193071
7THFtm_pos	3902.106625773986
A4GALTc_pos	0.0
A4GALTg_pos	11449.097399699796
A4GNT1g_pos	0.0
A4GNT2g_pos	258.5230035218046
AACOAT_pos	4321.632887662307
AACTOOR_pos	12216.359878104002
AACTtm_pos	12216.359878104002
AASAD3m_pos	26.548371518696058
AATAi_neg	3981.609590703652
AATAi_pos	49.22434495358457
ABO1g_pos	10736.858200104014
ABO2g_pos	10352.81222244553
ABO3g_pos	10515.349647292487
ABO4g_pos	9704.213733389448
ABO5g_pos	9704.213733389448
ABO6g_pos	9085.169630518416
ABO7g_pos	9085.169630518416
ABO8g_pos	9375.53268969217
ABO9g_pos	8437.51492607546
ABTArm_neg	9609.99651973484
ABTArm_pos	12487.777954839188
ABTD_neg	5073.97098507172
ABTD_pos	8.027816543090378
ABTti_pos	5073.97098507172
ABUTD_pos	12446.805534362125
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	520.504032268908
ABUTt2r_pos	654.3707311662388
ABUTt4_2_r_neg	654.3707311662388
ABUTt4_2_r_pos	520.504032268908
ACACT10m_neg	13801.190998737098
ACACT10m_pos	9884.15087126291
ACACT1r_neg	7530.4241154518
ACACT1r_pos	16628.347818193393
ACACT1rm_pos	5337.807597572387
ACACT1x_pos	10087.417424359417
ACACT4p_pos	24796.043214600086
ACACT5p_pos	24796.043214600086
ACACT6p_pos	24796.04321460009
ACACT7p_pos	24121.269275633793
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	484.81841368386074
ACACt2_pos	484.81841368386074
ACACt2m_neg	1309.2295824598307
ACACt2m_pos	1309.2295824598307
ACACtx_neg	5952.740874091612
ACACtx_pos	0.0
ACALDt_neg	6426.129225073702
ACALDt_pos	5.239197963352508
ACALDtm_neg	9209.011960760434
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54891.77865206133
ACALDtx_neg	0.0
ACALDtx_pos	11.825678789618554
ACCOAC_pos	4301.919832471638
ACCOACm_pos	4262.188316616703
ACCOAL_pos	3329.356030857508
ACCOALm_pos	4669.262439818452
ACCOAgt_neg	0.0
ACCOAgt_pos	19597.626777207814
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1599.6348127967426
ACCOAtr_pos	1599.6348127967426
ACETONEt2_neg	10774.668861783259
ACETONEt2_pos	5.599766240255212
ACETONEt2m_neg	10774.668861783259
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	11223.577325377268
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	11223.577325377268
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9704.213733389452
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9704.213733389448
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	9085.169630518416
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	9085.169630518416
ACGALK2_pos	554.0003990873638
ACGALK_pos	553.0312218394014
ACGALtlg_neg	922.2379064528121
ACGALtlg_pos	0.0
ACGALtly_pos	553.0312218394014
ACGAM2E_neg	4156.018503455746
ACGAM2E_pos	30486.501139143787
ACGAM6PSi_pos	3540.3610499291103
ACGAMK_pos	4156.018503455746
ACGAMPM_neg	0.0
ACGAMPM_pos	4156.018503455745
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	922.2379064528121
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	922.2379064528122
ACGPID_pos	51.90236872328876
ACGSm_pos	0.0
ACHEe_pos	5635.399298326653
ACHVESSEC_pos	4161.011929878187
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5994.391744223597
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11381.825659773433
ACN13ACNGALGBSIDEtg_neg	11381.825659773436
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11381.825659773433
ACN23ACNGALGBSIDEtg_neg	11381.825659773436
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12623.096514219478
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12623.096514219473
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11411.16708304974
ACNACNGALGBSIDEtg_neg	11411.167083049744
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8807.900472301757
ACNAM9PL_pos	8483.333827088818
ACNAMPH_pos	8483.333827088818
ACNAMlt_neg	18117.18241257438
ACNAMlt_pos	0.0
ACNAMtn_pos	8807.876927084331
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10322.503947834073
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10322.503947834073
ACNMLr_neg	18904.178436549842
