	Ob.EPA.c_S137_L007_R1_001	Ob.EPA.e_S153_L007_R1_001	Ob.1012.b_S133_L007_R1_001	WT.911.b_S129_L007_R1_001
GLCtly_pos	0.0	0.0	0.0	0.0
GLCURter_pos	0.0	0.0	0.0	0.0
GLCURtly_pos	4.073820233291672	4.513490745588118	4.124328135002202	4.3008558712687615
GLCURtly_neg	4.073820233291672	4.513490745588118	4.124328135002202	4.3008558712687615
GLDBRAN_pos	3.9818526532897405	4.07638806851284	3.6599245584023783	3.7506065048355923
GLGNS1_pos	6.810314561497258	7.173227395028653	6.907251224292033	6.454175893185802
GLNALANaEx_pos	1.4168397419128291	1.2509615735332187	1.6461626571578936	1.6040713236688608
GLNASNNaEx_pos	1.4168397419128291	1.2509615735332187	1.6461626571578936	1.6040713236688608
GLNCYSNaEx_pos	1.4168397419128291	1.2509615735332187	1.6461626571578936	1.6040713236688608
GLNLASEer_pos	0.0	0.0	0.0	0.0
GLNLASEer_neg	0.0	0.0	0.0	0.0
GLNS_pos	8.680324356844016	9.287758545052114	9.032789618514967	8.40062331383735
GLNSERNaEx_pos	1.4168397419128291	1.2509615735332187	1.6461626571578936	1.6040713236688608
GLNt4_pos	8.773732650607855	8.985130373466898	8.619266268489191	8.395919659458956
GLNTHRNaEx_pos	1.4168397419128291	1.2509615735332187	1.6461626571578936	1.6040713236688608
GLNtm_pos	0.0	0.0	0.0	0.0
GLNtN1_pos	9.189750445929795	9.691481821608948	9.330558400030803	9.219410563083464
GLNtN1_neg	9.189750445929795	9.691481821608948	9.330558400030803	9.219410563083464
GLPASE1_pos	1.9523335663696857	2.070389327891398	2.0669502439246266	1.944858445807539
GLPASE2_pos	1.9523335663696857	2.070389327891398	2.0669502439246266	1.944858445807539
GLRASE_pos	0.0	0.0	0.0	0.0
GLRASE_neg	0.0	0.0	0.0	0.0
GLU5Km_pos	1.2448870591235344	1.8073549220576042	1.3785116232537298	0.28688114778816154
GLUCYS_pos	7.27216319537305	7.303187112277435	6.838384558357694	6.670585440262214
GLUDC_pos	0.12432813500220177	0.22650852980867975	0.41142624572646497	0.5558161550616397
GLUDxm_pos	9.302319050948833	9.385840835531992	8.909023005316996	8.86198637084057
GLUDxm_neg	9.302319050948833	9.385840835531992	8.909023005316996	8.86198637084057
GLUDym_pos	9.302319050948833	9.385840835531992	8.909023005316996	8.86198637084057
GLUDym_neg	9.302319050948833	9.385840835531992	8.909023005316996	8.86198637084057
GluForTx_pos	8.044011535858921	8.206965497184216	8.057504426386751	8.35548324564319
GLUNm_pos	7.975561406273617	7.905387005018131	7.542025837671953	7.477758266443888
GLUPRT_pos	2.7463127664254587	2.811471030529836	1.8639384504239715	2.875780063068488
GLUt2m_pos	8.00410808063294	8.37360471408464	7.88154226889489	7.625854931368057
GLUt2m_neg	8.00410808063294	8.37360471408464	7.88154226889489	7.625854931368057
GLUt6_pos	4.776103988073165	5.437294331497144	5.093813673402728	4.66732447027863
GLUt7l_pos	0.0	0.0	0.0	0.0
GLUTCOADHm_pos	8.72089405160597	8.903369733650473	8.751142324726947	8.331857459506766
GLUtr_pos	0.0	0.0	0.0	0.0
GLUtr_neg	0.0	0.0	0.0	0.0
GLUVESSEC_pos	3.964398632203184	4.305970520984387	3.9457949567400608	3.777156666004501
GLXO1_pos	10.629188113659337	10.568079621084085	10.588817681547873	9.701410436232814
GLXO2p_pos	7.2864191453373275	7.261530815243406	6.993787563134839	7.573950083786874
GLXtm_pos	0.0	0.0	0.0	0.0
GLXtm_neg	0.0	0.0	0.0	0.0
GLXtp_pos	0.0	0.0	0.0	0.0
GLXtp_neg	0.0	0.0	0.0	0.0
GLYAMDTRc_pos	2.5582676340557358	2.3868109464722167	2.786596361890807	2.414135532984451
GLYAMDTRc_neg	2.5582676340557358	2.3868109464722167	2.786596361890807	2.414135532984451
GLYATm_pos	5.3125199674749455	5.510012465448515	5.3466023752989855	5.805808348701467
GLYATm_neg	5.3125199674749455	5.510012465448515	5.3466023752989855	5.805808348701467
