	Ob.911.e_S155_L007_R1_001
4NPHte_pos	14.037021730986528
4OHPROIMINOtc_pos	1698.6413726905862
4PYRDX_pos	7926.783883827923
5ADTSTSTERONEGLCte_pos	68556.188489412
5ADTSTSTERONEGLCtr_neg	68556.188489412
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	7022.298659006869
5ADTSTSTERONESte_neg	8.39959270406818
5ADTSTSTERONESte_pos	54389.56242236619
5ADTSTSTERONEte_neg	55010.00403040602
5ADTSTSTERONEte_pos	7.234791052158557
5ADTSTSTERONEtr_neg	38.77373019145752
5ADTSTSTERONEtr_pos	55004.99090930128
5AOPtm_neg	14452.097760373661
5AOPtm_pos	0.0
5DHFtl_pos	3196.367533509526
5FTHFt2_neg	0.0
5FTHFt2_pos	6.36917839165459
5HLTDL_pos	7.480782258956502
5HOMEPRAZOLEte_neg	7.451266657131697
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	446.3800270755288
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.414100371576891
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15047.226975707497
5MTAte_pos	14968.72699506339
5MTHFt2_neg	1271.665866736914
5MTHFt2_pos	1271.665866736914
5MTHFt2le_neg	2312.891200711554
5MTHFt2le_pos	2312.891200711554
5MTHFt_neg	1271.665866736914
5MTHFt_pos	1271.665866736914
5OXPROt_neg	10174.504035559166
5OXPROt_pos	6075.239252713035
5THFtl_pos	3196.100170013746
5THFtm_pos	3774.2809189371737
6DHFtl_pos	3437.8326651397992
6DHFtm_pos	3835.1089664865617
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	51792.482456170066
6HTSTSTERONEtr_neg	51792.482456170066
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3437.8326651397992
6THFtm_pos	3835.1089664865603
7DHCHSTEROLtr_neg	10883.985521285107
7DHCHSTEROLtr_pos	75800.93318139305
7DHFtl_pos	3569.9924243014143
7DHFtm_pos	3877.969540674214
7THFtl_pos	3569.9924243014134
7THFtm_pos	3877.9695406742126
A4GALTc_pos	0.0
A4GALTg_pos	11094.666090427354
A4GNT1g_pos	0.0
A4GNT2g_pos	253.30987465157597
AACOAT_pos	4130.736670908011
AACTOOR_pos	12045.697300355683
AACTtm_pos	12045.697300355683
AASAD3m_pos	26.081219414507128
AATAi_neg	3884.6197981737187
AATAi_pos	48.570274638605035
ABO1g_pos	10494.907675247447
ABO2g_pos	10120.600882942732
ABO3g_pos	10285.034714870453
ABO4g_pos	9507.12901495134
