	Treg_Spleen_Treg3_L1
ACACt2m_pos	2850.0
ACACtx_neg	10154.29132266806
ACACtx_pos	0.0
ACALDt_neg	7851.528131487435
ACALDt_pos	6.599988900082323
ACALDtm_neg	14259.882193604548
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	72058.28448696154
ACALDtx_neg	0.0
ACALDtx_pos	14.42233544240925
ACCOAC_pos	6719.525458084091
ACCOACm_pos	6973.437828040165
ACCOAL_pos	5797.735851117814
ACCOALm_pos	9286.60193071167
ACCOAgt_neg	0.0
ACCOAgt_pos	28900.54164034855
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	4052.2123343979056
ACCOAtr_pos	4052.2123343979056
ACETONEt2_neg	17529.989836450466
ACETONEt2_pos	8.131886291776542
ACETONEt2m_neg	17529.989836450473
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	14908.830448599183
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	14908.830448599178
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	12725.986186699021
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	12725.98618669902
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	12058.105685737872
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	12058.105685737868
ACGALK2_pos	670.032163187532
ACGALK_pos	667.6028995818565
ACGALtlg_neg	1206.860578594593
ACGALtlg_pos	0.0
ACGALtly_pos	667.6028995818565
ACGAM2E_neg	6091.92455477775
ACGAM2E_pos	41116.24333428456
ACGAM6PSi_pos	6857.843409959221
ACGAMK_pos	6091.92455477775
ACGAMPM_neg	0.0
ACGAMPM_pos	6091.924554777749
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	1206.860578594593
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	1206.8605785945929
ACGPID_pos	54.520450846263735
ACGSm_pos	0.0
ACHEe_pos	10202.999959739778
ACHVESSEC_pos	6548.446192180366
ACHtn_neg	5700.0
ACHtn_pos	5700.0
