	WT-911-a_S119_L007_R1_001
3SPYRSPm_pos	14540.72437857215
41R1H2MAE12BOOX_pos	39826.0927547033
41R2A1H12BOOX_pos	31920.465954540818
42A12BOOX_pos	0.0
4ABUTtcn_pos	9606.235618687911
4ABUTtm_neg	9603.975048543503
4ABUTtm_pos	12485.788240154436
4HBZCOAFm_pos	45990.829154406536
4HBZFm_pos	45990.829154406536
4HDEBRISOQUINEte_neg	7.52516288753275
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1338.2207452243065
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	10922.628133446256
4HPROLTASCT1_pos	1886.765885397299
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	4086.5583397330606
4MOPte_neg	7417.930619669495
4MOPte_pos	7708.456808801718
4MPTNLte_neg	0.0
4MPTNLte_pos	61537.55692635863
4MPTNLtm_neg	61537.55692635864
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.52516288753275
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.836767351059166
4NPHSFte_pos	0.0
4NPHSULT_pos	22.83676735105917
4NPHte_neg	0.0
4NPHte_pos	14.207661057529895
4OHPROIMINOtc_pos	1886.765885397299
4PYRDX_pos	8069.258141022527
5ADTSTSTERONEGLCte_pos	69666.66892646441
5ADTSTSTERONEGLCtr_neg	69666.66892646441
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	7792.7858838238235
5ADTSTSTERONESte_neg	8.214935922497467
5ADTSTSTERONESte_pos	55245.77223947763
5ADTSTSTERONEte_neg	55873.037717293635
5ADTSTSTERONEte_pos	7.245291999164114
5ADTSTSTERONEtr_neg	39.289806610664
5ADTSTSTERONEtr_pos	55869.77243318973
5AOPtm_neg	14694.109380614658
5AOPtm_pos	0.0
5DHFtl_pos	3225.633801587539
5FTHFt2_neg	0.0
5FTHFt2_pos	6.633230231916504
5HLTDL_pos	7.562437141781892
5HOMEPRAZOLEte_neg	7.52516288753275
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	536.6490146378612
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.6634054127402145
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15338.820654835217
5MTAte_pos	15244.687781948673
5MTHFt2_neg	1335.835071796392
5MTHFt2_pos	1335.835071796392
5MTHFt2le_neg	2452.1727390133406
5MTHFt2le_pos	2452.1727390133406
5MTHFt_neg	1335.835071796392
5MTHFt_pos	1335.835071796392
5OXPROt_neg	10330.97805324082
5OXPROt_pos	6213.639081436601
5THFtl_pos	3224.199123569263
5THFtm_pos	3785.175412230971
6DHFtl_pos	3478.3595972500484
6DHFtm_pos	3851.5752689820124
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	52575.8124953656
6HTSTSTERONEtr_neg	52575.81249536561
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3478.3595972500484
6THFtm_pos	3851.575268982012
7DHCHSTEROLtr_neg	10969.397129419613
7DHCHSTEROLtr_pos	77121.0553331013
7DHFtl_pos	3619.95406928169
7DHFtm_pos	3897.4886919921087
7THFtl_pos	3619.95406928169
7THFtm_pos	3897.488691992108
A4GALTc_pos	0.0
A4GALTg_pos	11453.066285047871
A4GNT1g_pos	0.0
A4GNT2g_pos	258.1457963256279
AACOAT_pos	4329.4411512457555
AACTOOR_pos	12369.769727436997
