	WT.1012.a_S120_L007_R1_001
3MOBt2im_pos	4148.377071422482
3MOBte_neg	6.469877582029612
3MOBte_pos	7781.758435145852
3MOPt2im_pos	4148.507753350751
3MOPte_neg	23.729215015163483
3MOPte_pos	7717.725861517527
3MOX4HOXPGALDOX_NADP__neg	1191.6205200784684
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	1191.6205200784684
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14862.994159597294
3SALAASPm_pos	0.0
3SALACBOXL_pos	10155.731767262681
3SALAOX_pos	27163.13762464735
3SALATAi_pos	13917.332426395418
3SALATAim_pos	14862.99415959729
3SPYRSP_pos	13917.332426395418
3SPYRSPm_pos	14862.99415959729
41R1H2MAE12BOOX_pos	40178.901430925616
41R2A1H12BOOX_pos	32388.202398264144
42A12BOOX_pos	0.0
4ABUTtcn_pos	9721.503591594681
4ABUTtm_neg	9852.499781114377
4ABUTtm_pos	12573.531052980708
4HBZCOAFm_pos	46730.665273134786
4HBZFm_pos	46730.665273134786
4HDEBRISOQUINEte_neg	7.585530511833835
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1377.4653712692511
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	11165.381860757927
4HPROLTASCT1_pos	1963.2183306286688
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	4148.507753350751
4MOPte_neg	7510.793867111019
4MOPte_pos	7757.9854309326365
4MPTNLte_neg	0.0
4MPTNLte_pos	62128.95998738519
4MPTNLtm_neg	62128.959987385184
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.585530511833835
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	23.245336951327424
4NPHSFte_pos	0.0
4NPHSULT_pos	23.245336951327424
4NPHte_neg	0.0
4NPHte_pos	14.351441758629186
4OHPROIMINOtc_pos	1963.2183306286688
4PYRDX_pos	8206.991638360963
5ADTSTSTERONEGLCte_pos	70683.35654814863
5ADTSTSTERONEGLCtr_neg	70683.3565481486
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	8261.263117449475
5ADTSTSTERONESte_neg	8.274284996844637
5ADTSTSTERONESte_pos	55936.7386643344
5ADTSTSTERONEte_neg	56592.000125563776
5ADTSTSTERONEte_pos	7.2529615430333205
5ADTSTSTERONEtr_neg	39.79712061435316
5ADTSTSTERONEtr_pos	56588.832735061646
5AOPtm_neg	14862.528615529916
5AOPtm_pos	0.0
5DHFtl_pos	3255.7020430619173
5FTHFt2_neg	0.0
5FTHFt2_pos	6.931713986984663
5HLTDL_pos	7.676799331167835
5HOMEPRAZOLEte_neg	7.585530511833835
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	610.8423043168675
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.800753245255486
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15619.199735310516
5MTAte_pos	15488.253673147585
5MTHFt2_neg	1436.29031056707
5MTHFt2_pos	1436.29031056707
5MTHFt2le_neg	2635.020333745629
5MTHFt2le_pos	2635.020333745629
5MTHFt_neg	1436.29031056707
5MTHFt_pos	1436.29031056707
5OXPROt_neg	10449.469566428317
5OXPROt_pos	6377.636009755149
5THFtl_pos	3254.187096839417
5THFtm_pos	3819.3119235496924
6DHFtl_pos	3521.7565645313416
6DHFtm_pos	3892.490462798232
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	53241.38960618932
6HTSTSTERONEtr_neg	53241.389606189325
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3521.756564531341
6THFtm_pos	3892.4904627982337
7DHCHSTEROLtr_neg	11073.462116098633
7DHCHSTEROLtr_pos	78071.24968213022
