	WT.DHA.d_S143_L007_R1_001	WT.DHA.b_S128_L007_R1_001	WT.EPA.a_S117_L007_R1_001	WT.1012.d_S145_L007_R1_001
GLUt2m_neg	7.100346961358104	7.293701542080735	7.441865217388118	7.684748620421626
GLUt6_pos	4.662775171937777	4.85598969730848	4.728464765092534	4.803227036434928
GLUt7l_pos	0.0	0.0	0.0	0.0
GLUTCOADHm_pos	8.108576727390696	8.198052083759451	8.015024705273152	8.127478520098219
GLUtr_pos	0.0	0.0	0.0	0.0
GLUtr_neg	0.0	0.0	0.0	0.0
GLUVESSEC_pos	2.925999418556223	2.969012307516316	1.7180875839605168	3.608809242675524
GLXO1_pos	9.549091545884242	9.883972039471622	11.213590302881306	10.02926651827836
GLXO2p_pos	7.189429245809757	7.70175696303795	7.515542158078312	7.615225000357386
GLXtm_pos	0.0	0.0	0.0	0.0
GLXtm_neg	0.0	0.0	0.0	0.0
GLXtp_pos	0.0	0.0	0.0	0.0
GLXtp_neg	0.0	0.0	0.0	0.0
GLYAMDTRc_pos	2.4905701304462013	1.9486008474933556	2.1731274334806563	2.4276061727818994
GLYAMDTRc_neg	2.4905701304462013	1.9486008474933556	2.1731274334806563	2.4276061727818994
GLYATm_pos	5.534186139090097	5.4015622072560685	5.496014873437763	5.634012356402116
GLYATm_neg	5.534186139090097	5.4015622072560685	5.496014873437763	5.634012356402116
GLYBt4_2_r_pos	5.167117030227439	5.303050084681673	4.920769673020648	5.444600813711502
GLYBt4_2_r_neg	5.167117030227439	5.303050084681673	4.920769673020648	5.444600813711502
GLYBtm_pos	0.0	0.0	0.0	0.0
GLYBtm_neg	0.0	0.0	0.0	0.0
GLYC3Ptm_pos	0.0	0.0	0.0	0.0
GLYCK2_pos	0.0	0.0	0.0	0.0
GLYCLTDy_pos	7.640244936222346	7.977108163866296	8.31537602721884	7.799281621521922
GLYCLTDym_pos	0.0	0.0	0.0	0.0
GLYCLTtp_pos	0.0	0.0	0.0	0.0
GLYC_St_pos	0.0	0.0	0.0	0.0
GLYCt_pos	0.0	0.0	0.0	0.0
GLYCt_neg	0.0	0.0	0.0	0.0
GLYCtm_pos	0.0	0.0	0.0	0.0
GLYCtm_neg	0.0	0.0	0.0	0.0
GLYCTO1p_pos	7.189429245809757	7.70175696303795	7.515542158078312	7.615225000357386
GLYK_pos	0.0	0.0	0.0	0.0
GLYKm_pos	0.0	0.0	0.0	0.0
GLYOp_pos	0.0	0.0	0.0	0.0
GLYOX_pos	8.030887799300428	8.385258455694315	7.300123724569014	7.98008244007045
GLYOXm_pos	8.000112706147544	8.367108924275792	7.266786540694901	7.942924969921691
GLYt2r_pos	3.8328900141647417	3.5323169593327655	2.9392265777282085	3.8439838440483265
GLYt2r_neg	3.8328900141647417	3.5323169593327655	2.9392265777282085	3.8439838440483265
GLYt2rL_pos	3.8328900141647417	3.5323169593327655	2.9392265777282085	3.8439838440483265
GLYt2rL_neg	3.8328900141647417	3.5323169593327655	2.9392265777282085	3.8439838440483265
GLYt4_pos	8.126549613543878	8.543147850042914	8.438126479550952	8.540902952010635
GLYt7_211_r_pos	4.24412594328373	4.20633064787105	4.275752048828529	4.213347281733441
GLYt7_211_r_neg	4.24412594328373	4.20633064787105	4.275752048828529	4.213347281733441
GLYtm_pos	0.0	0.0	0.0	0.0
GLYtm_neg	0.0	0.0	0.0	0.0
GLYtp_pos	0.0	0.0	0.0	0.0
GLYtp_neg	0.0	0.0	0.0	0.0
GLYVESSEC_pos	0.0	0.0	0.0	0.0
GMAND_pos	0.9411063109464314	1.480265122054463	2.27500704749987	2.0565835283663674
GMPR_pos	3.674686619927999	3.6724253419714956	3.2675357980687343	3.329123596291566
GMPS2_pos	3.0823619695574735	3.4854268271702415	3.599317793698226	3.077242998932461
GMPtg_pos	0.0	0.0	0.0	0.0
GMPtg_neg	0.0	0.0	0.0	0.0
GMPtn_pos	0.0	0.0	0.0	0.0
GMPtn_neg	0.0	0.0	0.0	0.0
GND_pos	4.900625332536066	4.129283016944966	4.76659516172927	4.888499735514123
GNDer_pos	4.900625332536066	4.129283016944966	4.76659516172927	4.888499735514123
GNMT_pos	10.21903537970935	10.307371599548944	10.211316455540723	10.174863280846616
GP1CALPHAte_pos	0.0	0.0	0.0	0.0
GP1CALPHAte_neg	0.0	0.0	0.0	0.0
GP1CALPHAtg_pos	0.0	0.0	0.0	0.0
GP1CALPHAtg_neg	0.0	0.0	0.0	0.0
GP1Cte_pos	0.0	0.0	0.0	0.0
GP1Cte_neg	0.0	0.0	0.0	0.0
GP1Ctg_pos	0.0	0.0	0.0	0.0
