	Tcon_Lymph_Tcon10_L1
5MTHFt2le_pos	2266.364495009667
5MTHFt_neg	2083.182247504834
5MTHFt_pos	1900.0
5OXPROt_neg	16658.61590648231
5OXPROt_pos	9795.293353006435
5THFtl_pos	3849.2034360140588
5THFtm_pos	6314.181234793686
6DHFtl_pos	4646.179412096717
6DHFtm_pos	6706.061374515613
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	70295.02214023817
6HTSTSTERONEtr_neg	70295.02214023817
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	4646.179412096717
6THFtm_pos	6706.0613745156115
7DHCHSTEROLtr_neg	12741.544279643076
7DHCHSTEROLtr_pos	112834.5692576512
7DHFtl_pos	5177.496729485153
7DHFtm_pos	6968.251001803198
7THFtl_pos	5177.496729485153
7THFtm_pos	6968.251001803196
A4GALTc_pos	0.0
A4GALTg_pos	15740.358134702314
A4GNT1g_pos	0.0
A4GNT2g_pos	330.602735569746
AACOAT_pos	10307.363265204169
AACTOOR_pos	17785.95301498977
AACTtm_pos	17785.95301498977
AASAD3m_pos	54.24329852137485
AATAi_neg	8166.953710524082
AATAi_pos	74.08169584231806
ABO1g_pos	14395.217072324009
ABO2g_pos	13419.969699268247
ABO3g_pos	13920.568597917041
ABO4g_pos	13218.028728393621
ABO5g_pos	13218.028728393621
ABO6g_pos	12534.329280454447
ABO7g_pos	12534.329280454447
ABO8g_pos	12595.815533853467
ABO9g_pos	11316.128424396522
ABTArm_neg	16448.013543397778
ABTArm_pos	21050.819491402723
ABTD_neg	5369.377286152365
ABTD_pos	9.43502005451402
ABTti_pos	5369.377286152365
ABUTD_pos	23928.2171465022
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	1777.979791977541
ABUTt2r_pos	1832.255911121467
ABUTt4_2_r_neg	1832.255911121467
ABUTt4_2_r_pos	1777.979791977541
ACACT10m_neg	25059.0507134857
ACACT10m_pos	20899.8282117118
ACACT1r_neg	19813.577993865416
ACACT1r_pos	31978.821535699295
ACACT1rm_pos	15596.587791063608
ACACT1x_pos	20853.921264319433
ACACT4p_pos	45163.76309043121
ACACT5p_pos	45163.76309043122
ACACT6p_pos	45163.76309043121
ACACT7p_pos	43530.3679441436
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	2136.3788045911024
ACACt2_pos	2136.3788045911024
ACACt2m_neg	2850.0
ACACt2m_pos	2850.0
ACACtx_neg	10337.08400431914
ACACtx_pos	0.0
ACALDt_neg	8514.983900752617
ACALDt_pos	6.932217793955294
ACALDtm_neg	15016.744837555418
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	73328.61436282647
ACALDtx_neg	0.0
ACALDtx_pos	14.761869246224236
ACCOAC_pos	6877.895907140815
ACCOACm_pos	7036.416492411078
ACCOAL_pos	5882.530044623955
ACCOALm_pos	9412.331686725067
ACCOAgt_neg	0.0
ACCOAgt_pos	30102.146742260396
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	4099.409240705347
ACCOAtr_pos	4099.409240705347
ACETONEt2_neg	17747.143020833028
ACETONEt2_pos	8.652531755036811
ACETONEt2m_neg	17747.143020833024
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	15434.532636891045
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	15434.532636891045
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	13218.02872839362
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	13218.02872839362
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	12534.329280454447
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
