	Ob-DHA-c_S138_L007_R1_001	WT-1012-a_S120_L007_R1_001	Ob-1012-a_S125_L007_R1_001	Ob-DHA-a_S123_L007_R1_001
SERALANaEx_pos	3.0617761975866897	1.8032270364349277	3.263034405833794	2.8933622107638715
SERASNNaEx_pos	1.8196681834964554	1.0356239097307212	1.5558161550616396	0.8559896973084807
SERCYSNaEx_pos	3.0617761975866897	1.8032270364349277	3.263034405833794	2.8933622107638715
SERDGLNexR_pos	4.413120146403495	3.3785116232537296	4.427270935173585	3.8449881566826116
SERDGLNexR_neg	4.413120146403495	3.3785116232537296	4.427270935173585	3.8449881566826116
SERDGLYexR_pos	4.413120146403495	3.3785116232537296	4.427270935173585	3.8449881566826116
SERDGLYexR_neg	4.413120146403495	3.3785116232537296	4.427270935173585	3.8449881566826116
SERGLNexR_pos	4.413120146403495	3.3785116232537296	4.427270935173585	3.8449881566826116
SERGLNexR_neg	4.413120146403495	3.3785116232537296	4.427270935173585	3.8449881566826116
SERGLNNaEx_pos	1.8196681834964554	1.0356239097307212	1.5558161550616396	0.8559896973084807
SERGLYexR_pos	4.413120146403495	3.3785116232537296	4.427270935173585	3.8449881566826116
SERGLYexR_neg	4.413120146403495	3.3785116232537296	4.427270935173585	3.8449881566826116
SERHL_pos	8.249682357472528	7.595816918555854	9.348108458870632	8.412739192116423
SERLYSNaex_pos	3.1929831699739917	2.726831217032493	4.932391940068527	3.319762427669248
SERPT_pos	3.533563348214512	2.0379678501990206	3.496973580998276	3.1805722456418213
SERt4_pos	8.761085771869094	7.811663685272846	9.303803575449686	8.52646011467275
SERTHRNaEx_pos	3.0617761975866897	1.8032270364349277	3.263034405833794	2.8933622107638715
SERtN1_pos	0.18903382439001715	0.0	0.0	0.0
SERtN1_neg	0.18903382439001715	0.0	0.0	0.0
SERtp_pos	0.0	0.0	0.0	0.0
SERtp_neg	0.0	0.0	0.0	0.0
SFGTH_pos	8.110561608643462	7.491532461804321	8.194461391737482	8.285032249622912
SGALSIDEtg_pos	0.0	0.0	0.0	0.0
SGALSIDEtg_neg	0.0	0.0	0.0	0.0
SGALSIDEtl_pos	0.0	0.0	0.0	0.0
SGALSIDEtl_neg	0.0	0.0	0.0	0.0
SGPL11r_pos	5.352264173258321	3.990954860396993	5.150965783556497	4.890933021705543
SGPL12r_pos	5.352264173258321	3.990954860396993	5.150965783556497	4.890933021705543
SIAASE_pos	0.8718436485093178	1.4005379295837288	1.372952097911829	1.0285691521967708
SIAASE2ly_pos	4.751677945687578	4.161283074542011	4.919459269111575	4.627898615871748
SIAASE3ly_pos	4.751677945687578	4.161283074542011	4.919459269111575	4.627898615871748
SIAASE4ly_pos	4.751677945687578	4.161283074542011	4.919459269111575	4.627898615871748
SIAASEly_pos	4.751677945687578	4.161283074542011	4.919459269111575	4.627898615871748
SIAT4Bg_pos	1.2868811477881617	0.6959938131099002	1.3673710656485294	1.0285691521967708
