	Ob-d_S146_L007_R1_001
3MOBt2im_pos	3902.0602162083756
3MOBte_neg	6.242283481820075
3MOBte_pos	7570.934124139648
3MOPt2im_pos	3902.0602162083756
3MOPte_neg	23.026880804000875
3MOPte_pos	7494.969042709812
3MOX4HOXPGALDOX_NADP__neg	934.0692767101531
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	934.0692767101531
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14409.18546109979
3SALAASPm_pos	0.0
3SALACBOXL_pos	9956.67556378868
3SALAOX_pos	26651.98169145697
3SALATAi_pos	13629.589252520025
3SALATAim_pos	14409.185461099787
3SPYRSP_pos	13629.589252520025
3SPYRSPm_pos	14409.185461099787
41R1H2MAE12BOOX_pos	39244.68792635162
41R2A1H12BOOX_pos	31603.138086625397
42A12BOOX_pos	0.0
4ABUTtcn_pos	9480.695882998614
4ABUTtm_neg	9429.894520069034
4ABUTtm_pos	12456.00452340103
4HBZCOAFm_pos	45626.87151070874
4HBZFm_pos	45626.87151070874
4HDEBRISOQUINEte_neg	7.466817070156783
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1313.513468205294
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	10873.993855301014
4HPROLTASCT1_pos	1715.6669897132178
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	3902.0602162083756
4MOPte_neg	7233.352246930275
4MOPte_pos	7545.6676583120725
4MPTNLte_neg	0.0
4MPTNLte_pos	61137.91684080839
4MPTNLtm_neg	61137.91684080843
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.466817070156784
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.49464360742481
4NPHSFte_pos	0.0
4NPHSULT_pos	22.49464360742481
4NPHte_neg	0.0
4NPHte_pos	14.040987569217805
4OHPROIMINOtc_pos	1715.6669897132178
4PYRDX_pos	8002.1312737657445
5ADTSTSTERONEGLCte_pos	69145.56089106089
5ADTSTSTERONEGLCtr_neg	69145.56089106087
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	7160.093257058486
5ADTSTSTERONESte_neg	8.328084274126699
5ADTSTSTERONESte_pos	54783.18658099772
