	Ob.EPA.e_S153_L007_R1_001
ABUTt2r_pos	591.0864868560934
ABUTt4_2_r_neg	591.0864868560933
ABUTt4_2_r_pos	482.9105547482585
ACACT10m_neg	13476.66654379412
ACACT10m_pos	9616.773430340116
ACACT1r_neg	7019.3230204225865
ACACT1r_pos	15787.083034456391
ACACT1rm_pos	4998.626682987949
ACACT1x_pos	9584.470559072164
ACACT4p_pos	23908.170345799193
ACACT5p_pos	23908.170345799186
ACACT6p_pos	23908.17034579919
ACACT7p_pos	23251.1768528717
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	381.3160311835712
ACACt2_pos	381.3160311835712
ACACt2m_neg	1237.2897718969425
ACACt2m_pos	1237.2897718969425
ACACtx_neg	5707.282890708622
ACACtx_pos	0.0
ACALDt_neg	6168.692787341438
ACALDt_pos	5.126638198003698
ACALDtm_neg	8862.970236081337
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54035.090863997735
ACALDtx_neg	0.0
ACALDtx_pos	11.723872967758657
ACCOAC_pos	4172.854443686961
ACCOACm_pos	4193.49098833821
ACCOAL_pos	3216.542991559168
ACCOALm_pos	4516.131384587227
ACCOAgt_neg	0.0
ACCOAgt_pos	19028.888224696246
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1467.5908927299042
ACCOAtr_pos	1467.5908927299042
ACETONEt2_neg	10523.448403297889
ACETONEt2_pos	5.481977524476188
ACETONEt2m_neg	10523.448403297885
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	10929.775835210292
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	10929.775835210292
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9441.604925992671
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9441.60492599267
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	8834.477466652645
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	8834.47746665264
ACGALK2_pos	542.3065979375785
ACGALK_pos	541.3377620895227
ACGALtlg_neg	898.5191339537247
ACGALtlg_pos	0.0
ACGALtly_pos	541.3377620895226
ACGAM2E_neg	3921.4489292962403
ACGAM2E_pos	29868.262725871657
ACGAM6PSi_pos	3380.4295853418603
ACGAMK_pos	3921.448929296241
ACGAMPM_neg	0.0
ACGAMPM_pos	3921.4489292962403
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	898.5191339537247
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	898.5191339537247
ACGPID_pos	50.78158434127159
ACGSm_pos	0.0
ACHEe_pos	5481.539447833456
ACHVESSEC_pos	4058.8325529534422
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5705.088668270711
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11056.100336467465
ACN13ACNGALGBSIDEtg_neg	11056.100336467462
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11056.100336467465
ACN23ACNGALGBSIDEtg_neg	11056.100336467462
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12236.908529058528
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12236.908529058528
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11077.651795666543
ACNACNGALGBSIDEtg_neg	11077.65179566654
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8601.284510046713
ACNAM9PL_pos	8285.708071236286
ACNAMPH_pos	8285.708071236286
ACNAMlt_neg	17742.55162631138
ACNAMlt_pos	0.0
ACNAMtn_pos	8750.319616862891
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10012.087538212587
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10012.087538212587
ACNMLr_neg	18336.627510436614
ACNMLr_pos	8285.708071236286
ACOAD10m_pos	289.3114952889063
ACOAD1fm_pos	18064.52436576133
ACOAD8m_pos	311.29899871068403
ACOAD9m_pos	11823.392491220957
ACOAHi_pos	3188.884648377422
ACOAO7p_pos	17497.281931086894
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1168.4138361639914
ACONT_pos	1168.4138361639914
ACONTm_neg	306.29402605476065
ACONTm_pos	306.29402605476065
ACOX22x_pos	68234.9596681468
ACOX2x_pos	58171.60293424758
ACP1_FMN__pos	3318.8852252681313
ACRNtm_pos	2282.723185402929
ACS2_pos	3173.903586656817
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3188.8846483774223
ACSm_pos	4483.744786396827
ACTLMO_pos	5448.928953364707
ACTNMO_pos	14135.349424361608
ACYP_pos	3193.843001527447
ACt2m_neg	4108.277520464025
ACt2m_pos	4821.367139832036
ACt2r_neg	1212.458590457166
ACt2r_pos	1212.458590457166
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7355.955562138643
ADAe_pos	7518.140362175737
ADCim_pos	10523.448403297887
ADEt_neg	6169.242590847642
ADEt_pos	30520.130602162328
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1159.1115509755741
ADK1_pos	1159.1115509755741
ADK1m_neg	420.08502980316945
ADK1m_pos	420.08502980316945
ADK3_neg	1159.1115509755741
ADK3_pos	1159.1115509755741
ADK3m_neg	420.08502980316945
ADK3m_pos	420.08502980316945
